split,q0,q1,q2,q3,y
train,143,136,82,215,0
train,161,161,90,206,0
train,137,198,78,189,0
train,94,136,44,184,1
train,202,110,84,215,0
train,157,187,59,203,0
train,120,83,96,205,1
train,236,208,29,192,0
train,225,136,60,232,0
train,151,232,44,107,0
train,206,240,18,106,0
train,135,229,45,105,0
train,152,141,121,201,0
train,164,142,104,223,0
train,202,170,66,212,0
train,178,188,59,166,0
train,204,137,69,230,0
train,87,43,159,184,1
train,10,217,61,110,1
train,169,73,147,195,0
train,140,132,72,190,0
train,64,137,84,193,1
train,173,205,58,162,0
train,89,248,59,18,0
train,211,157,69,227,0
train,201,168,66,212,0
train,192,93,106,229,0
train,97,132,50,195,1
train,98,67,156,220,1
train,177,166,65,194,0
train,180,160,64,216,0
train,84,167,43,136,1
train,111,68,122,217,1
train,76,127,87,236,1
train,99,51,158,233,1
train,135,221,22,88,0
train,76,170,56,176,1
train,139,101,92,180,0
train,51,57,188,158,1
train,80,32,158,162,1
train,87,146,49,173,1
train,62,164,50,123,1
train,142,132,56,209,1
train,213,212,32,166,0
train,154,135,37,235,1
train,200,135,80,252,0
train,159,191,64,215,0
train,187,102,79,195,0
train,204,104,82,215,0
train,86,119,70,207,1
train,199,202,41,213,0
train,155,87,151,159,0
train,83,62,134,188,1
train,90,131,73,199,1
train,145,158,105,217,0
train,174,224,24,137,0
train,185,202,45,211,0
train,131,156,26,189,1
train,60,10,199,136,1
train,103,115,102,217,1
train,97,72,125,207,1
train,196,142,66,219,0
train,105,224,85,78,0
train,145,179,0,59,1
train,136,90,108,180,0
train,124,211,24,143,0
train,193,235,21,106,0
train,100,71,109,208,1
train,145,231,42,108,0
train,196,198,45,210,0
train,195,96,96,201,0
train,89,45,157,197,1
train,136,139,66,193,0
train,141,201,62,194,0
train,206,191,31,199,0
train,202,101,96,223,0
train,65,15,216,189,1
train,163,70,147,194,0
train,97,141,136,204,0
train,87,82,120,225,1
train,139,137,36,217,1
train,224,132,62,230,0
train,157,133,127,196,0
train,141,183,1,58,1
train,103,111,75,218,1
train,164,163,56,197,0
train,51,7,246,137,1
train,203,98,97,210,0
train,129,127,143,214,0
train,171,228,23,132,0
train,218,154,55,240,0
train,162,125,119,235,0
train,200,229,11,86,0
train,208,221,7,101,0
train,167,137,108,196,0
train,178,210,17,172,0
train,231,232,10,108,0
train,180,200,52,213,0
train,202,231,13,97,0
train,87,37,151,159,1
train,209,165,67,219,0
train,226,239,10,106,0
train,142,80,150,135,0
train,207,140,67,221,0
train,214,93,88,211,0
train,21,196,66,44,1
train,83,162,49,131,1
train,59,166,54,112,1
train,110,130,72,213,1
train,42,163,70,173,1
train,75,173,52,109,1
train,28,193,68,46,1
train,133,100,73,236,1
train,46,11,228,168,1
train,156,167,14,166,1
train,150,204,63,131,0
train,183,139,83,248,0
train,111,133,55,214,1
train,118,149,34,185,1
train,140,204,72,133,0
train,172,219,22,173,0
train,114,133,59,198,1
train,134,156,27,189,1
train,131,161,19,140,1
train,93,42,161,201,1
train,128,125,143,219,0
train,122,122,147,215,0
train,71,60,188,190,1
train,39,164,70,169,1
train,185,188,34,188,0
train,222,170,42,224,0
train,236,181,33,214,0
train,114,165,18,121,1
train,122,131,59,200,1
train,194,139,77,219,0
train,111,131,48,204,1
train,154,172,6,142,1
