split,q0,q1,q2,q3,y
train,146,134,83,206,0
train,164,158,91,197,0
train,139,196,79,179,0
train,96,134,44,174,1
train,206,107,85,206,0
train,160,185,60,194,0
train,122,80,97,196,1
train,240,206,30,182,0
train,229,133,61,224,0
train,154,229,44,95,0
train,210,238,19,94,0
train,138,227,45,92,0
train,155,139,123,192,0
train,168,140,106,215,0
train,206,168,67,203,0
train,181,186,59,156,0
train,208,135,70,222,0
train,88,40,161,175,1
train,10,215,61,97,1
train,172,71,148,186,0
train,143,130,72,181,0
train,65,135,85,183,1
train,176,202,59,151,0
train,90,245,60,2,0
train,215,154,70,218,0
train,204,166,67,203,0
train,195,91,107,221,0
train,99,129,50,185,1
train,100,64,158,211,1
train,180,164,66,184,0
train,183,158,64,207,0
train,85,164,43,124,1
train,113,66,123,208,1
train,78,124,88,229,1
train,101,48,160,225,1
train,137,219,22,75,0
train,78,168,57,166,1
train,142,99,93,170,0
train,52,54,190,148,1
train,82,29,160,152,1
train,88,144,50,163,1
train,63,161,51,110,1
train,144,130,57,200,1
train,217,209,32,155,0
train,157,132,38,227,1
train,204,132,81,245,0
train,162,189,65,206,0
train,190,100,80,185,0
train,208,102,83,207,0
train,87,116,71,198,1
train,203,199,42,204,0
train,158,84,152,148,0
train,84,59,136,178,1
train,92,129,73,189,1
train,148,156,106,208,0
train,177,222,25,126,0
train,188,200,45,202,0
train,133,154,26,179,1
train,61,8,201,125,1
train,105,112,103,208,1
train,99,69,126,198,1
train,200,140,66,210,0
train,107,222,86,64,0
train,147,177,0,44,1
train,138,87,109,170,0
train,127,209,24,132,0
train,197,233,21,93,0
train,101,69,110,199,1
train,148,229,42,95,0
train,200,196,46,201,0
train,199,94,97,191,0
train,91,42,159,187,1
train,139,137,67,184,0
train,144,199,63,184,0
train,209,189,32,190,0
train,205,99,97,215,0
train,66,13,218,179,1
train,166,68,148,184,0
train,99,138,138,195,0
train,89,80,121,217,1
train,141,135,37,209,1
train,228,130,62,222,0
train,160,131,128,187,0
train,144,180,1,43,1
train,105,108,76,210,1
train,167,161,57,188,0
train,52,4,249,125,1
train,207,95,98,201,0
train,131,125,144,206,0
train,174,226,23,121,0
train,222,152,56,233,0
train,165,123,121,227,0
train,204,227,11,73,0
train,212,219,8,88,0
train,170,134,110,187,0
train,181,207,17,162,0
train,235,230,10,95,0
train,183,198,52,205,0
train,205,229,13,84,0
train,88,34,153,148,1
train,213,162,68,211,0
train,230,236,10,93,0
train,145,77,151,124,0
train,211,137,68,213,0
train,218,91,89,202,0
train,21,193,66,29,1
train,84,160,49,119,1
train,60,164,54,99,1
train,112,127,73,205,1
train,43,160,71,162,1
train,76,171,52,97,1
train,28,191,69,31,1
train,135,98,74,228,1
train,47,9,230,157,1
train,159,165,14,155,1
train,153,202,63,120,0
train,186,137,84,241,0
train,113,131,56,206,1
train,121,147,35,175,1
train,143,202,72,121,0
train,175,217,23,162,0
train,116,131,59,189,1
train,137,153,27,180,1
train,133,158,19,128,1
train,94,40,162,192,1
train,130,123,145,210,0
train,125,120,148,207,0
train,72,57,190,180,1
train,39,162,71,159,1
train,188,186,34,178,0
train,227,168,43,216,0
train,241,178,34,205,0
train,117,163,18,109,1
train,124,129,59,191,1
train,198,137,77,210,0
train,113,128,49,195,1
train,157,170,6,130,1
train,53,51,193,155,1
train,170,148,94,205,0
train,198,195,50,206,0
train,130,136,54,193,1
train,226,208,25,152,0
train,204,225,13,84,0
train,171,121,117,187,0
train,201,198,38,191,0
train,168,189,61,145,0
train,83,40,167,188,1
train,48,163,65,166,1
train,122,158,39,139,1
train,201,225,13,87,0
train,200,144,74,242,0
train,221,150,56,233,0
train,71,61,188,171,1
train,216,152,69,215,0
train,108,229,26,50,0
train,191,80,132,209,0
train,219,98,88,208,0
train,110,241,60,26,0
train,178,144,78,205,0
train,165,172,82,213,0
train,119,98,104,232,1
train,82,115,74,199,1
train,138,87,109,170,0
train,16,214,56,105,1
train,142,165,13,145,1
train,198,158,70,205,0
train,150,125,139,178,0
train,197,159,70,208,0
train,97,235,89,118,0
train,171,203,53,149,0
train,246,159,44,230,0
train,98,157,51,136,1
train,108,229,26,50,0
train,123,160,38,124,1
train,101,162,33,140,1
train,137,137,51,195,1
train,116,160,25,122,1
train,124,188,74,166,0
train,96,145,59,167,1
train,135,207,71,112,0
train,113,159,46,154,1
train,80,75,125,206,1
train,197,141,78,228,0
train,94,39,166,191,1
train,88,84,133,193,1
train,199,143,73,235,0
train,173,174,3,127,1
train,185,191,51,180,0
train,138,121,71,216,1
train,182,229,20,95,0
train,183,90,105,199,0
train,226,206,33,177,0
train,168,188,62,144,0
train,106,145,142,214,0
train,118,147,42,166,1
train,178,69,147,200,0
train,168,209,58,139,0
train,175,166,66,185,0
train,77,39,167,180,1
train,106,110,58,190,1
train,180,219,19,161,0
train,65,67,176,190,1
train,81,168,53,105,1
train,159,215,34,178,0
train,157,148,22,196,1
train,90,247,62,3,0
train,84,114,75,203,1
train,86,41,159,182,1
train,140,143,43,181,1
train,205,159,69,209,0
train,197,195,45,185,0
train,75,147,67,183,1
train,57,0,255,112,1
train,187,188,57,180,0
train,211,141,67,218,0
train,74,66,176,172,1
train,181,207,56,151,0
train,188,215,18,161,0
train,138,131,56,198,1
train,106,37,164,186,1
train,80,162,48,117,1
train,111,234,82,55,0
train,173,122,115,178,0
train,29,209,62,70,1
train,139,137,67,184,0
train,160,163,14,159,1
train,93,235,85,110,0
train,204,228,16,90,0
train,100,130,48,181,1
train,231,162,43,223,0
train,215,225,7,102,0
train,130,134,55,191,1
train,89,150,54,153,1
train,107,112,57,192,1
train,169,81,154,159,0
train,204,105,80,197,0
train,36,194,58,33,1
train,95,63,120,191,1
train,80,147,134,185,0
train,99,68,153,202,1
train,237,229,5,87,0
train,93,167,50,164,1
train,207,104,86,204,0
train,170,148,25,195,1
train,26,208,60,71,1
train,156,215,42,150,0
train,74,64,178,169,1
train,155,168,5,95,1
train,185,158,61,209,0
train,210,97,99,221,0
train,205,192,32,170,0
train,120,81,109,231,1
train,44,76,181,186,1
train,61,50,173,204,1
train,49,178,51,59,1
train,85,247,90,102,0
train,126,217,53,143,0
train,210,214,25,180,0
train,157,140,33,204,1
train,187,202,48,173,0
train,148,164,18,160,1
train,152,142,29,197,1
train,78,56,190,174,1
train,108,157,32,148,1
train,136,136,37,205,1
train,163,171,4,129,1
train,151,141,33,209,1
train,99,245,93,73,0
train,57,50,197,159,1
train,49,5,233,153,1
train,224,153,57,235,0
train,17,207,66,114,1
train,149,94,110,187,0
train,153,168,96,215,0
train,47,74,180,181,1
train,125,130,58,183,1
train,114,68,121,220,1
train,142,99,93,170,0
train,237,227,11,100,0
train,172,64,149,192,0
train,102,140,51,174,1
train,76,12,191,141,1
train,13,207,63,115,1
train,133,189,78,177,0
train,198,143,80,239,0
train,177,221,23,159,0
train,208,129,64,207,0
train,200,138,77,214,0
train,119,159,19,117,1
train,110,116,91,211,1
train,141,229,47,95,0
train,198,196,51,183,0
train,70,148,61,135,1
train,144,230,43,98,0
train,87,42,162,178,1
train,88,255,96,48,0
train,88,126,77,184,1
train,165,197,45,156,0
train,243,190,30,185,0
train,157,140,122,184,0
train,193,206,19,164,0
train,10,223,56,22,1
train,214,100,85,214,0
train,128,219,18,26,0
train,73,4,233,178,1
train,84,123,96,195,1
train,53,176,53,66,1
train,149,94,110,187,0
train,242,187,27,179,0
train,161,213,63,141,0
train,224,98,97,221,0
train,154,192,76,212,0
train,121,92,79,209,1
train,111,162,44,146,1
train,222,138,77,224,0
train,179,121,118,191,0
train,185,136,74,224,0
train,74,125,85,214,1
train,204,100,86,207,0
train,214,134,81,224,0
train,222,160,66,214,0
train,213,96,100,213,0
train,84,74,125,196,1
train,115,111,57,196,1
train,161,76,155,152,0
train,108,229,26,50,0
train,83,167,55,163,1
train,185,201,50,148,0
train,222,205,32,164,0
train,61,154,66,168,1
train,242,187,27,187,0
train,193,88,100,187,0
train,233,160,46,233,0
train,105,115,86,207,1
train,66,158,60,165,1
train,97,206,40,149,0
train,108,156,49,144,1
train,48,2,251,115,1
train,166,203,48,134,0
train,105,151,53,153,1
train,141,163,9,95,1
train,139,129,58,203,1
train,120,86,151,128,0
train,143,140,34,197,1
train,203,227,16,102,0
train,203,231,13,72,0
train,58,6,204,113,1
train,18,220,54,37,1
train,191,186,53,158,0
train,6,198,66,7,1
train,127,124,54,217,1
train,122,128,59,213,1
train,99,26,172,170,1
train,176,64,152,183,0
train,68,51,173,219,1
train,205,189,31,178,0
train,205,227,15,94,0
train,125,126,53,210,1
train,100,72,117,202,1
train,214,135,75,244,0
train,122,201,64,159,0
train,123,147,34,178,1
train,146,218,45,157,0
train,94,167,52,165,1
train,207,104,85,216,0
train,77,33,152,145,1
train,139,137,67,184,0
train,68,177,50,74,1
train,58,72,171,169,1
train,99,74,124,224,1
train,122,54,133,213,1
train,147,218,35,91,0
train,16,214,59,103,1
train,208,238,10,77,0
train,79,149,54,142,1
train,39,165,68,158,1
train,215,107,78,217,0
train,150,187,80,186,0
train,69,134,88,185,1
train,132,120,48,211,1
train,31,218,54,48,1
train,196,129,68,202,0
train,76,42,165,176,1
train,193,94,117,205,0
train,208,230,12,77,0
train,132,211,64,100,0
train,137,178,3,37,1
train,177,146,92,212,0
train,117,163,20,107,1
train,93,25,164,160,1
train,205,147,76,218,0
train,137,204,70,173,0
train,128,220,82,86,0
train,210,135,71,240,0
train,84,64,142,212,1
train,158,216,37,181,0
train,86,157,52,124,1
train,86,126,75,222,1
train,166,192,58,196,0
train,127,113,82,225,1
train,135,131,40,209,1
train,90,144,51,166,1
train,9,196,68,8,1
train,117,161,22,118,1
train,84,121,89,190,1
train,211,106,77,212,0
train,114,156,24,162,1
train,62,148,58,132,1
train,64,162,53,106,1
train,192,205,55,132,0
train,213,237,13,89,0
train,91,159,32,135,1
train,97,133,67,230,1
train,146,200,71,181,0
train,124,129,59,192,1
train,95,244,54,0,0
train,65,148,61,134,1
train,41,73,181,174,1
train,193,163,61,193,0
train,224,146,59,235,0
train,168,84,153,148,0
train,41,82,174,181,1
train,103,81,133,199,1
train,172,196,64,140,0
train,130,115,148,194,0
train,97,142,62,168,1
train,206,228,13,81,0
train,108,116,91,206,1
train,201,92,107,228,0
train,92,145,58,151,1
train,171,210,59,114,0
train,143,234,43,88,0
train,163,159,61,191,0
train,145,132,39,203,1
train,177,220,21,112,0
train,174,223,24,127,0
train,65,5,205,131,1
train,203,138,82,220,0
train,156,129,131,176,0
train,212,105,82,218,0
train,157,174,84,200,0
train,204,217,10,95,0
train,108,145,137,205,0
train,188,196,56,212,0
train,154,218,36,175,0
train,206,148,58,225,0
train,197,196,47,176,0
train,209,84,96,182,0
train,59,177,48,69,1
train,197,129,87,255,0
train,100,62,123,199,1
train,146,165,10,92,1
train,138,87,109,170,0
train,50,56,192,159,1
train,143,149,22,186,1
train,170,189,63,209,0
train,255,225,10,115,0
train,138,121,149,212,0
train,98,65,115,181,1
train,133,212,75,97,0
train,211,103,81,211,0
train,45,7,244,115,1
train,12,192,71,31,1
train,231,169,41,219,0
train,115,226,72,65,0
train,180,82,129,184,0
train,137,177,4,51,1
train,226,209,30,169,0
train,219,143,59,242,0
train,0,220,61,82,1
train,151,153,113,215,0
train,69,60,186,180,1
train,153,214,48,150,0
train,148,184,77,190,0
train,209,235,15,91,0
train,153,94,121,179,0
train,133,120,74,214,1
train,199,153,80,213,0
train,143,168,6,86,1
train,179,196,58,206,0
train,154,216,36,167,0
train,124,135,53,211,1
train,127,160,21,122,1
train,102,109,78,217,1
train,210,229,16,88,0
train,81,241,82,97,0
train,90,251,91,107,0
train,78,14,191,126,1
train,210,92,90,194,0
train,175,105,94,192,0
train,200,214,28,183,0
train,132,131,57,195,1
train,140,184,81,184,0
train,233,226,16,111,0
train,196,141,82,246,0
train,205,109,88,222,0
train,180,189,46,164,0
train,189,88,101,174,0
train,114,131,56,202,1
train,199,224,15,109,0
train,228,125,66,222,0
train,201,92,106,223,0
train,103,109,106,201,1
train,92,142,53,174,1
train,149,182,81,190,0
train,51,162,67,170,1
train,55,167,51,91,1
train,134,191,41,133,0
train,148,203,66,172,0
train,128,109,58,208,1
train,164,127,105,170,0
train,140,159,107,212,0
train,108,162,39,114,1
train,212,144,53,218,0
train,118,155,25,163,1
train,76,133,64,196,1
train,99,41,144,152,1
train,30,200,60,8,1
train,64,67,176,182,1
train,190,222,11,96,0
train,73,62,185,192,1
train,192,186,50,179,0
train,57,155,66,166,1
train,102,138,149,210,0
train,123,88,81,213,1
train,163,135,111,225,0
train,177,222,23,120,0
train,100,157,32,136,1
train,118,127,54,200,1
train,57,50,198,157,1
train,171,154,80,193,0
train,53,10,225,160,1
train,145,130,122,161,0
train,150,154,108,200,0
train,173,123,119,177,0
train,140,121,47,202,1
train,55,158,68,178,1
train,189,98,116,215,0
train,115,159,19,109,1
train,167,106,90,175,0
train,76,2,208,130,1
train,198,142,81,248,0
train,218,184,35,199,0
train,149,216,40,153,0
train,111,152,31,159,1
train,197,213,25,180,0
train,205,202,38,198,0
train,162,175,74,197,0
train,199,144,70,229,0
train,172,110,87,193,0
train,60,7,233,163,1
train,94,166,37,98,1
train,123,117,137,185,0
train,81,135,86,200,1
train,94,117,72,204,1
train,164,214,45,160,0
train,117,131,58,186,1
train,112,151,30,163,1
train,117,240,55,20,0
train,144,166,13,143,1
train,138,199,55,165,0
train,121,144,43,167,1
train,160,165,95,207,0
train,219,101,88,224,0
train,198,191,39,194,0
train,37,74,184,185,1
train,87,252,91,51,0
train,156,173,44,151,0
train,149,163,9,103,1
train,154,211,36,172,0
train,95,161,44,131,1
